19 19
1 1
6 1
9 5
12 9
0 80
2 67
4 2
6 1
8 39
10 24
12 55
14 54
16 3
18 62
20 23
22 89
24 3
26 24
28 23
30 39
32 82
34 30
36 15
38 38
40 56
42 48
44 15
46 13
48 64
50 71
52 97
54 79
56 44
58 2
60 76
62 93
64 82
66 10
68 22
70 98
72 94
74 41
76 37
78 93
80 45
82 70
84 96
86 80
88 0
90 37
92 95
94 56
96 69
98 26
0 2
2 85
4 32
6 57
8 37
10 18
12 21
14 83
16 34
18 32
20 11
22 52
24 55
26 32
28 37
30 28
32 34
34 75
36 69
38 71
40 22
42 0
44 43
46 46
48 89
50 83
52 93
54 52
56 39
58 88
60 79
62 98
64 27
66 70
68 97
70 53
72 62
74 36
76 23
78 10
80 12
82 35
84 1
86 26
88 66
90 75
92 40
94 14
96 52
98 1
0 99
2 56
4 24
6 15
8 23
10 35
12 43
14 70
16 35
18 97
20 88
22 80
24 93
26 32
28 20
30 33
32 32
34 97
36 8
38 80
40 76
42 20
44 5
46 95
48 45
50 85
52 29
54 67
56 75
58 38
60 50
62 14
64 22
66 63
68 45
70 7
72 0
74 38
76 20
78 58
80 98
82 24
84 5
86 56
88 35
90 16
92 85
94 26
96 55
98 95
0 1
2 45
4 46
6 1
8 87
10 95
12 37
14 75
16 76
18 85
20 54
22 80
24 11
26 83
28 78
30 7
32 41
34 66
36 45
38 23
40 91
42 44
44 99
46 12
48 83
50 8
52 71
54 31
56 8
58 30
60 86
62 80
64 2
66 76
68 82
70 30
72 76
74 90
76 32
78 90
80 18
82 84
84 79
86 76
88 12
90 91
92 34
94 92
96 21
98 38
0 74
2 54
4 44
6 77
8 61
10 92
12 73
14 98
16 30
18 68
20 7
22 9
24 28
26 20
28 71
30 57
32 72
34 76
36 16
38 45
40 62
42 60
44 32
46 68
48 16
50 7
52 27
54 48
56 35
58 81
60 63
62 73
64 65
66 57
68 24
70 48
72 87
74 98
76 33
78 95
80 49
82 68
84 93
86 81
88 84
90 47
92 44
94 22
96 17
98 17
0 67
2 85
4 83
6 65
8 76
10 87
12 15
14 90
16 54
18 31
20 78
22 92
24 63
26 2
28 96
30 2
32 89
34 12
36 73
38 40
40 5
42 33
44 45
46 87
48 65
50 17
52 95
54 18
56 41
58 1
60 38
62 92
64 30
66 77
68 37
70 74
72 28
74 53
76 39
78 19
80 70
82 40
84 11
86 14
88 1
90 41
92 11
94 12
96 97
98 26
0 36
2 10
4 18
6 93
8 16
10 91
12 24
14 69
16 98
18 91
20 3
22 78
24 3
26 70
28 0
30 36
32 52
34 3
36 49
38 94
40 22
42 10
44 13
46 86
48 57
50 53
52 41
54 17
56 13
58 1
60 18
62 19
64 68
66 99
68 12
70 12
72 55
74 67
76 20
78 14
80 16
82 39
84 45
86 85
88 76
90 47
92 31
94 53
96 57
98 10
0 70
2 15
4 54
6 83
8 85
10 6
12 67
14 4
16 45
18 19
20 75
22 30
24 69
26 85
28 20
30 56
32 91
34 18
36 3
38 70
40 14
42 28
44 70
46 74
48 39
50 14
52 99
54 71
56 42
58 54
60 26
62 2
64 12
66 4
68 94
70 65
72 80
74 93
76 92
78 38
80 23
82 78
84 83
86 96
88 75
90 99
92 7
94 58
96 97
98 84
0 17
2 81
4 72
6 90
8 16
10 10
12 25
14 58
16 95
18 90
20 34
22 76
24 48
26 77
28 15
30 43
32 98
34 20
36 39
38 65
40 83
42 30
44 1
46 65
48 3
50 39
52 53
54 61
56 39
58 14
60 14
62 17
64 68
66 8
68 80
70 0
72 7
74 41
76 39
78 74
80 92
82 19
84 44
86 73
88 17
90 85
92 12
94 62
96 82
98 0
0 30
2 43
4 16
6 96
8 17
10 22
12 65
14 76
16 23
18 65
20 75
22 86
24 92
26 60
28 62
30 95
32 90
34 32
36 78
38 48
40 74
42 76
44 81
46 44
48 11
50 48
52 55
54 15
56 11
58 5
60 3
62 26
64 55
66 72
68 42
70 67
72 38
74 11
76 87
78 64
80 47
82 86
84 8
86 45
88 2
90 31
92 88
94 63
96 84
98 7
0 65
2 35
4 60
6 46
8 88
10 39
12 81
14 8
16 50
18 11
20 9
22 26
24 74
26 89
28 72
30 47
32 62
34 80
36 9
38 94
40 8
42 83
44 84
46 5
48 68
50 43
52 5
54 78
56 87
58 83
60 64
62 88
64 34
66 78
68 73
70 73
72 83
74 17
76 27
78 42
80 31
82 9
84 36
86 13
88 90
90 83
92 59
94 83
96 24
98 99
0 21
2 30
4 56
6 47
8 82
10 49
12 53
14 13
16 61
18 63
20 51
22 58
24 72
26 12
28 48
30 16
32 68
34 22
36 1
38 99
40 96
42 29
44 56
46 97
48 13
50 30
52 93
54 52
56 84
58 99
60 53
62 60
64 5
66 10
68 40
70 36
72 82
74 54
76 85
78 98
80 52
82 72
84 44
86 45
88 34
90 31
92 54
94 48
96 34
98 18
0 1
2 17
4 84
6 66
8 31
10 8
12 44
14 90
16 56
18 77
20 17
22 24
24 95
26 38
28 56
30 0
32 63
34 59
36 59
38 66
40 94
42 96
44 31
46 43
48 46
50 97
52 19
54 89
56 92
58 72
60 79
62 67
64 42
66 29
68 35
70 22
72 59
74 27
76 28
78 51
80 87
82 72
84 54
86 43
88 96
90 43
92 73
94 27
96 65
98 38
0 81
2 51
4 19
6 42
8 4
10 32
12 28
14 22
16 40
18 24
20 38
22 41
24 38
26 88
28 84
30 72
32 60
34 24
36 1
38 37
40 0
42 35
44 68
46 16
48 76
50 51
52 99
54 38
56 32
58 72
60 82
62 18
64 92
66 45
68 43
70 3
72 26
74 92
76 50
78 84
80 64
82 86
84 59
86 41
88 3
90 85
92 16
94 32
96 91
98 56
0 73
2 72
4 92
6 75
8 14
10 7
12 24
14 42
16 70
18 84
20 81
22 5
24 46
26 1
28 27
30 13
32 45
34 8
36 28
38 78
40 75
42 10
44 58
46 91
48 6
50 99
52 80
54 30
56 12
58 42
60 50
62 90
64 67
66 15
68 25
70 87
72 53
74 39
76 6
78 20
80 46
82 10
84 58
86 33
88 92
90 5
92 45
94 50
96 87
98 93
0 71
2 88
4 24
6 38
8 54
10 90
12 25
14 17
16 77
18 83
20 6
22 4
24 47
26 46
28 87
30 3
32 17
34 63
36 38
38 8
40 27
42 37
44 15
46 5
48 38
50 76
52 3
54 52
56 89
58 94
60 15
62 82
64 21
66 16
68 44
70 77
72 41
74 75
76 91
78 29
80 5
82 27
84 95
86 35
88 7
90 67
92 28
94 70
96 31
98 94
0 84
2 38
4 40
6 52
8 8
10 39
12 3
14 73
16 73
18 76
20 75
22 69
24 88
26 85
28 49
30 37
32 3
34 5
36 83
38 96
40 73
42 78
44 14
46 37
48 67
50 44
52 12
54 25
56 58
58 8
60 30
62 16
64 20
66 36
68 29
70 18
72 29
74 8
76 37
78 6
80 97
82 57
84 0
86 54
88 43
90 23
92 59
94 12
96 14
98 78
0 61
2 12
4 23
6 26
8 51
10 65
12 56
14 24
16 81
18 54
20 46
22 56
24 70
26 77
28 78
30 71
32 12
34 96
36 3
38 0
40 43
42 51
44 90
46 82
48 75
50 75
52 65
54 78
56 38
58 28
60 82
62 78
64 36
66 67
68 84
70 88
72 39
74 58
76 16
78 77
80 63
82 3
84 0
86 9
88 12
90 38
92 3
94 76
96 71
98 88
0 51
2 92
4 94
6 61
8 24
10 31
12 94
14 24
16 2
18 73
20 31
22 51
24 72
26 72
28 48
30 88
32 29
34 85
36 90
38 96
40 27
42 61
44 63
46 15
48 37
50 64
52 65
54 92
56 82
58 77
60 3
62 0
64 90
66 70
68 95
70 60
72 93
74 83
76 10
78 99
80 89
82 66
84 49
86 10
88 11
90 9
92 25
94 6
96 25
98 25
10 50
20 50
30 60
40 90
50 20
0 89
2 80
4 32
6 44
8 78
10 84
12 11
14 15
16 60
18 35
20 32
22 81
24 92
26 24
28 66
30 21
32 24
34 31
36 69
38 60
40 13
42 30
44 78
46 93
48 99
50 27
52 63
54 17
56 45
58 77
60 36
62 60
64 63
66 48
68 69
70 54
72 82
74 60
76 37
78 93
80 45
82 30
84 82
86 94
88 64
90 40
92 74
94 12
96 93
98 19
